"gender","decade","speaker","word","preceding","stress","following","foll.broad","traj","duration","measurement.no","f1","f2","f3"
"M",2000,"00-O-m01","remember","@","schwa","w","labial","0015-00-O-m01-mw74__36.167-40.578.wav",0.191379431,8,597.1234402,1404.590844,2460.136674
"M",2000,"00-O-m01","remember","@","schwa","w","labial","0015-00-O-m01-mw74__36.167-40.578.wav",0.191379431,9,592.5437296,1412.300683,2448.747153
"M",2000,"00-O-m01","remember","@","schwa","w","labial","0015-00-O-m01-mw74__36.167-40.578.wav",0.191379431,10,582.1044914,1400.911162,2414.578588
"M",2000,"00-O-m01","father","@","schwa","w","labial","0016-00-O-m01-mw74__40.578-44.924.wav",0.109596605,0,558.7249619,1323.0002,2746.780814
"M",2000,"00-O-m01","father","@","schwa","w","labial","0016-00-O-m01-mw74__40.578-44.924.wav",0.109596605,1,555.0934828,1285.323456,2743.434791
"M",2000,"00-O-m01","father","@","schwa","w","labial","0016-00-O-m01-mw74__40.578-44.924.wav",0.109596605,2,553.3759146,1280.78597,2701.981716
"M",2000,"00-O-m01","father","@","schwa","w","labial","0016-00-O-m01-mw74__40.578-44.924.wav",0.109596605,3,526.1605785,1423.382553,2713.598885
"M",2000,"00-O-m01","father","@","schwa","w","labial","0016-00-O-m01-mw74__40.578-44.924.wav",0.109596605,4,529.6089627,1412.075806,2669.150054
"M",2000,"00-O-m01","father","@","schwa","w","labial","0016-00-O-m01-mw74__40.578-44.924.wav",0.109596605,5,541.1198523,1430.198991,2714.135253
"M",2000,"00-O-m01","father","@","schwa","w","labial","0016-00-O-m01-mw74__40.578-44.924.wav",0.109596605,6,508.3006008,1461.81053,2649.156636
"M",2000,"00-O-m01","father","@","schwa","w","labial","0016-00-O-m01-mw74__40.578-44.924.wav",0.109596605,7,474.7422799,1399.68409,2662.432078
"M",2000,"00-O-m01","father","@","schwa","w","labial","0016-00-O-m01-mw74__40.578-44.924.wav",0.109596605,8,449.9240462,1441.648062,2601.531012
"M",2000,"00-O-m01","father","@","schwa","w","labial","0016-00-O-m01-mw74__40.578-44.924.wav",0.109596605,9,451.9179276,1458.874339,2645.237804
"M",2000,"00-O-m01","father","@","schwa","w","labial","0016-00-O-m01-mw74__40.578-44.924.wav",0.109596605,10,471.3479574,1460.065897,2706.201403
"M",2000,"00-O-m01","water","@","schwa","b","labial","0020-00-O-m01-mw74__65.712-66.896.wav",0.095992281,0,496.1137329,1275.626424,2471.526196
"M",2000,"00-O-m01","water","@","schwa","b","labial","0020-00-O-m01-mw74__65.712-66.896.wav",0.095992281,1,504.0082401,1309.794989,2471.526196
"M",2000,"00-O-m01","water","@","schwa","b","labial","0020-00-O-m01-mw74__65.712-66.896.wav",0.095992281,2,501.1389522,1287.015945,2448.747153
"M",2000,"00-O-m01","water","@","schwa","b","labial","0020-00-O-m01-mw74__65.712-66.896.wav",0.095992281,3,501.1389522,1184.510251,2425.968109
"M",2000,"00-O-m01","water","@","schwa","b","labial","0020-00-O-m01-mw74__65.712-66.896.wav",0.095992281,4,478.3599089,1161.731207,2414.578588
"M",2000,"00-O-m01","water","@","schwa","b","labial","0020-00-O-m01-mw74__65.712-66.896.wav",0.095992281,5,478.3599089,1184.510251,2391.799544
"M",2000,"00-O-m01","water","@","schwa","b","labial","0020-00-O-m01-mw74__65.712-66.896.wav",0.095992281,6,478.3599089,1218.678815,2391.799544
"M",2000,"00-O-m01","water","@","schwa","b","labial","0020-00-O-m01-mw74__65.712-66.896.wav",0.095992281,7,478.3599089,1230.068337,2391.799544
"M",2000,"00-O-m01","water","@","schwa","b","labial","0020-00-O-m01-mw74__65.712-66.896.wav",0.095992281,8,478.3599089,1230.068337,2403.189066
"M",2000,"00-O-m01","water","@","schwa","b","labial","0020-00-O-m01-mw74__65.712-66.896.wav",0.095992281,9,478.3599089,1213.780437,2425.968109
"M",2000,"00-O-m01","water","@","schwa","b","labial","0020-00-O-m01-mw74__65.712-66.896.wav",0.095992281,10,480.0399862,1082.004556,2437.357631
"M",2000,"00-O-m01","stoneware","1","full","s","coronal","0021-00-O-m01-mw74__72.760-74.411.wav",0.100923662,0,448.3624185,1771.279526,2436.024788
"M",2000,"00-O-m01","stoneware","1","full","s","coronal","0021-00-O-m01-mw74__72.760-74.411.wav",0.100923662,1,466.9703872,1822.323462,2537.156787
"M",2000,"00-O-m01","stoneware","1","full","s","coronal","0021-00-O-m01-mw74__72.760-74.411.wav",0.100923662,2,478.3599089,1810.933941,2562.642369
"M",2000,"00-O-m01","stoneware","1","full","s","coronal","0021-00-O-m01-mw74__72.760-74.411.wav",0.100923662,3,501.1389522,1776.765376,2562.642369
"M",2000,"00-O-m01","stoneware","1","full","s","coronal","0021-00-O-m01-mw74__72.760-74.411.wav",0.100923662,4,512.5284738,1765.375854,2562.642369
"M",2000,"00-O-m01","stoneware","1","full","s","coronal","0021-00-O-m01-mw74__72.760-74.411.wav",0.100923662,5,512.5284738,1776.765376,2608.200456
"M",2000,"00-O-m01","stoneware","1","full","s","coronal","0021-00-O-m01-mw74__72.760-74.411.wav",0.100923662,6,501.1389522,1799.544419,2608.200456
